Tipo;No_Licencia;No_Registro;NombreComercial;EmpresaImportadora;FechaEmision;UMedida;Cantidad;PaisProcedencia;PaisOrigen;AduanadeIngreso; CIF_dolares ; CIF_Q ; TimbresQ ;Exportador;Concentraciones;Componentes;VENTANILLA
.;71-26     ;_484-F-6417-29-1;BIOFLORA 0-0-25;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;19/01/2026;Litros    ;4163.5;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $11,971.44 ; Q91,737.14 ; Q230.00 ;Global Organics LLC; 25.00, 0.00, 0.00;K2O, P2O5, N;MAGA
.;72-26     ;_484-F-5996-29-1;BIOFLORA 0-15-15;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;19/01/2026;Litros    ;4163.5;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $14,083.44 ; Q107,921.40 ; Q340.00 ;Global Organics LLC; 15.00, 15.00;P2O5, K2O;MAGA
.;73-26     ;_484-SAF-308-29-1;HUMEGA;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;19/01/2026;Litros    ;15196.78;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $17,317.22 ; Q132,701.86 ; Q365.00 ;Global Organics LLC; 8.00;Acidos Humicos;MAGA
.;74-26     ;_484-F-5994-29-1;BIOFLORA MAGNESIUM 4%;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;19/01/2026;Litros    ;4163.5;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $7,758.44 ; Q59,452.93 ; Q170.00 ;Global Organics LLC; 5.50, 4.50;S, MgO;MAGA
.;75-26     ;874-F-4553-21;Kieserite;GRUPO FERT, S.A                                                                                                                                       ;19/01/2026;Kilogramos;100000;Honduras                                          ;China                                             ;Corinto                                           ; $32,951.21 ; Q252,593.10 ; Q485.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 18.00, 25.00;S, MgO;MAGA
.;76-26     ;874-F-4553-21;Kieserite;GRUPO FERT, S.A                                                                                                                                       ;19/01/2026;Kilogramos;100000;Honduras                                          ;China                                             ;Corinto                                           ; $32,951.21 ; Q252,593.10 ; Q485.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 18.00, 25.00;S, MgO;MAGA
.;77-26     ;_1299-F-6483-18-2;GREEN GARDEN PARA ORQUIDEAS;AGROFORESTA                                                                                                                                           ;19/01/2026;Litros    ;1404;Costa Rica                                        ;Costa Rica                                        ;Pedro de Alvarado                                 ; $4,421.45 ; Q34,708.38 ; Q120.00 ;Seracsa Comercial S.A.; 0.00, 0.00, 98.23, 0.01, 0.02, 0.06, 0.01, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.01, 0.08;Acidos Fulvicos, Vitamina  B 1, Diluyente, K2O, N, P2O5, MgO, B, Mn, Zn, Fe, Cu, Mo, S, L-Aminoacidos Libres;MAGA
.;78-26     ;_1299-F-5740-18-3;GREEN GARDEN UNIVERSAL;AGROFORESTA                                                                                                                                           ;19/01/2026;Litros    ;60;Costa Rica                                        ;Costa Rica                                        ;Pedro de Alvarado                                 ; $281.93 ; Q2,213.15 ; Q20.00 ;Seracsa Comercial S.A.; 0.05, 0.00, 0.00, 0.04, 0.00, 0.01, 0.00, 0.04, 0.02, 0.04, 0.00;MgO, Mo, Cu, S, B, Zn, Fe, N, P2O5, K2O, Mn;MAGA
.;79-26     ;_1299-F-6476-18-2;HAPPY PLANT REVERDECIENTE;AGROFORESTA                                                                                                                                           ;19/01/2026;Litros    ;360;Costa Rica                                        ;Costa Rica                                        ;Pedro de Alvarado                                 ; $1,205.93 ; Q9,466.55 ; Q50.00 ;Seracsa Comercial S.A.; 0.05, 0.04, 0.03, 0.00, 99.89;N, MgO, L-Aminoacidos, Algas (Ascophyllum nodosum), Diluyente;MAGA
.;80-26     ;_1299-F-6248-18-1;PLANTOX 1000;AGROFORESTA                                                                                                                                           ;19/01/2026;Kilogramos;5376;Costa Rica                                        ;Costa Rica                                        ;Pedro de Alvarado                                 ; $24,871.96 ; Q195,244.89 ; Q420.00 ;Seracsa Comercial S.A.; 15.50, 15.50, 16.00, 0.50, 0.05, 0.05, 0.05, 0.05;Mn, Zn, S, B, Mo, Acidos Fulvicos, Acidos Humicos, Algas Marinas (Ascophyllum nodosum);MAGA
.;81-26     ;_1299-F-6255-18-1;FERTIPLANT NPK;AGROFORESTA                                                                                                                                           ;19/01/2026;Litros    ;336;Costa Rica                                        ;Costa Rica                                        ;Pedro de Alvarado                                 ; $1,705.24 ; Q13,386.13 ; Q80.00 ;Seracsa Comercial S.A.; 9.00, 6.60, 5.10, 0.03, 0.02, 0.11, 0.04, 0.03, 0.04, 0.04, 0.03, 0.07;N, P2O5, K2O, CaO, MgO, S, B, Cu, Fe, Mo, Mn, Zn;MAGA
.;82-26     ;_1299-F-6247-18-1;FOLIVEEX CALCIO BORO;AGROFORESTA                                                                                                                                           ;19/01/2026;Litros    ;10;Costa Rica                                        ;Costa Rica                                        ;Pedro de Alvarado                                 ; $990.51 ; Q7,775.50 ; Q40.00 ;Seracsa Comercial S.A.; 2.00, 9.81, 5.74;B, CaO, N;MAGA
.;83-26     ;_1299-F-6250-18-1;FOLIVEEX ZINC + BORO (AA);AGROFORESTA                                                                                                                                           ;19/01/2026;Kilogramos;500;Costa Rica                                        ;Costa Rica                                        ;Pedro de Alvarado                                 ; $2,156.91 ; Q16,931.74 ; Q90.00 ;Seracsa Comercial S.A.; 10.00, 8.50, 5.00, 5.00;Zn, B, S, Aminoacidos libres;MAGA
.;84-26     ;_1299-F-7154-18-1;PHYTOCROP;AGROFORESTA                                                                                                                                           ;19/01/2026;Kilogramos;500;Costa Rica                                        ;Costa Rica                                        ;Pedro de Alvarado                                 ; $3,208.51 ; Q25,186.80 ; Q100.00 ;Seracsa Comercial S.A.; 0.50, 13.00, 1.00, 1.00, 0.50, 40.00, 0.40;S, N, Aminoacidos libres, Zn, B, K2O, Cu;MAGA
.;85-26     ;_1299-SAF-568-18-3;EVEREST;AGROFORESTA                                                                                                                                           ;19/01/2026;Litros    ;1200;Costa Rica                                        ;Costa Rica                                        ;Pedro de Alvarado                                 ; $15,234.66 ; Q119,592.08 ; Q350.00 ;Seracsa Comercial S.A.; 17.00, 13.00, 25.00, 1.00;Polisacaridos, Aminoacidos, Algas (Ascophyllum nodosum), Regulador de PH;MAGA
.;86-26     ;922-ENMIENDA-302-17;FOSFORITA PESCA 30%;EXPORTADORA ENLASA, S.A                                                                                                                               ;19/01/2026;Kilogramos;140000;Colombia                                          ;Colombia                                          ;Puerto Barrios                                    ; $56,000.00 ; Q429,250.64 ; Q660.00 ;Mercagri SAS; 100.00;ROCA FOSFORICA;MAGA
.;87-26     ;922-SAF-577-21;AMINOÁCIDOS;EXPORTADORA ENLASA, S.A                                                                                                                               ;19/01/2026;Kilogramos;24000;China                                             ;China                                             ;Puerto Quetzal                                    ; $16,880.00 ; Q129,388.41 ; Q360.00 ;Lancet Biochem Limited; 38.00;Aminoacidos;MAGA
.;88-26     ;874-F-4390-29;Sulfato de Amonio Estandar;GRUPO FERT, S.A                                                                                                                                       ;20/01/2026;Kilogramos;127008;Honduras                                          ;Estados Unidos                                    ;Corinto                                           ; $30,690.28 ; Q235,151.99 ; Q470.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 24.00, 21.00;S, N;MAGA
.;89-26     ;874-F-4390-29;Sulfato de Amonio Estandar;GRUPO FERT, S.A                                                                                                                                       ;20/01/2026;Kilogramos;127008;Honduras                                          ;Estados Unidos                                    ;Corinto                                           ; $30,690.28 ; Q235,151.99 ; Q470.00 ;Fertilizantes de Centroamérica (Honduras), S.A. de C.V.; 24.00, 21.00;S, N;MAGA
